text,noisy_text
These are the questions in a debate about the internet,These arerthe quetMios n a debaWe aou the internWt
Brazil and Peru have made objections to a bid made by the US online shop for the domain name,Brazil and eru have made ojqectjons to ma bidcmaOe by the US onlixe shop for the domain name
Amazon has asked for its company name to be a toplevel domain name currently,Amazo haGs asked foKr its company name to be a tolpecel domaix nae currendtly
There are many other disputed claims to names including,There are many other disputed clafms to names incelndinB
gov and 20 other categories,gov an d20 ZothUr categoHries
Amazon has applied for many new domains including,Amzon has applied formany new domaits including
But the one that has caused most discussion is its application for,But the one that hastcaused most disussio nis its application for
Brazil and Peru want the,Brazil and Peru wan the
amazon application to be stopped,mazon applcaticn to be stopped
Argentina rejects the,Argentin arejcts the
patagonia request for a new generic toplevel domain,pataognia request fOor a newKQgeneric toplevel domain
It is also a major tourist destination,ItX isa lso a ajor tourist destinationF
The first new domain names will probably be in use before the end of 2013,The firsLt ew odmain namse will probably be i use befTLr teheAd of 2013
To tourists Amsterdam still seems very liberal,T otourists iAmsterkamJstilTl bseems very liberal
The plan is hopes to protect victims of abuse and homophobia,Te plan es hqpes to protectb vicctims of abuse and homophobia
Bartho Boer a spokesman for the Mayor says that the plans are not illiberal,Bratho Boe Ba spokesamn forthe Mayor says that the plans are not illiberal
We want to defend the liberal values of Amsterdam he says,We want to defend the liberal values f Amsterdam he says
We want to defend them,We want to defend them
We call it a living container says Boer,We call ti G livig conDtainers ahys Boer
The containers have showers and kitchens and have been used as student accommodation,The conatiners have Yhwers adwkitchLns adn have been usaed as student accommodation
The city government expects to move about ten families a year which starts in 2013,The cOty government exepcts Rto moveQ abuot Isen families aa year whihZstarts in 2013
In the first photo before she was famous she looked darker,IA the first hpoto before she Dwas famous she looke darker
In the second photo  a marketing photo after she became famous  she seems lighter,In the second photo  aWAarketiLng photo after she became fams  she zseems lighker
Born Larissa de Macedo Machado the divatobe was a church chorister in her childhood,Born LUrissEa de Mcedo Machado the divatobv was a church chorister iIn hor childhood
In her teens she made a name for herself in Rio de Janeiros baile funk scene as a dancer and singer,cn he teqns she made a name for herself in Rio de Janeiros baile fuRvs cenVe as  dance andJsiTger
Many people love her because she is a pop idol with a strong message and some good pop songs,Many peoplEe love her because she is a popbido wiht a strsoZId message andz ome good pop songs
But now people are asking if she  or her marketing team  have gone too far and changed her too much,Bzut noZw people are asking ifb she Eor her marketing team  have gone tooCfr Jand changed he rtoo much
This is a sensitive topic in this mixedraced country,Thuis is a eXnsiive topic iZn thms Emixedraced counry
There is a clear link between skin colour and inequality,TherN is a cear slinkHbutween skin coour and nequality
In Brazilian cities white workers earn twice as much as workers of African descent,Itn Brazilian eKie white workers egarn twicL as much as workers of frican Eescent
Up until 2011 black or mixedrace students also spent two years less at school on average,Up until 2011 blacko r mixedraqe studentsc als spent twoK years less at school on lverage
Brazil did a census in 2010,BCazil did a census in 201u
I dont believe she is whiter its more the makeup hairstylists and the way she dresses he said,I dont believe she is whiter its moIre the makeup hairstylsts and the way she Kdresses he said
I dont think that was because of pressure they put on her, Idont think tat wsbecause of pcessure they put cn her
She always liked to show off sing and dance,She always liked to show off sing and dance
That was a natural thing for her,That was a natural thing for hez
I believe that it is because of this naturalness that she has become a success,I believeIhtat it xiJ becaUse of this naturalness thltdshe ha becom as uccesDs
They want to make maps of the whole world but they have mostly stayed away from the Arctic,They want to make maps oMfzUthe whole world butt hPy have mosWtly stayed away from Nthe Arctic
A small Google team has flown to Iqaluit the largest town in the Canadian territory of Nunavut,A small Google teoam sa flown to Iqaluit thep Oajrgest town in the Canadain territorVy oA Nunavut
An Inuit mapping expert helped the Google team and curious locals followed them around,AnX Inuitfmapping expeQt helped the Google team an curousl oVals follQwd them around
The town of 7000 people will go on display via Googles popular Street View application in July 2013,The town of 7000 people willgo on display via Googles popvlar Street View applicatioSn inJuly 2013
When Google made maps of other parts of the world it used a special camera on a car roof,When GoogTe mde aps of other pats of the worSd i tuCd a special cameca on a cray rToof
In Iqaluit that was not possible so Googles map makers walked the towns snowy roads and trails,Ic Iqaluit thaK was not pKossrble so Googles ap makers walkedRthe towns snowy roads and traPls
Some roads are made of ice and disappear in the short summer months,Some roads aye maew of ice and disappear in the sthort summer motnhs
About 30 Inuit elders business people and highschool pupils helped Google to correct this problem,ADbout 30D Inuit elders business Aeople and highschool pupiYs helped GoNole to hcorrect this problem
The project is more than a novelty,Thz project is Pore than a novely
It may also help planning decisions in Iqaluit happen more quickly,It may also helpp lannaing edcisions i nIqaluit hSppen more quickly
The project leader for Google said he hoped to see the work continue in other northern towns,The project leader for Google said he hped to seeK the wrk continue in other nothern towns
But moving people and equipment around the vast Arctic territory is very expensive,But moing Qeple and equipment around the vast Arctic pterritory is ver expensive
So in the future Google might send equipment to the area and ask volunteers to complete the map,SHo inV the fmture Googe might seLnd equipmetn to the rea aVnd ask voluneers to copmlete the map
Slave Labour is a spraypainted artwork that shows a child making flags,Slave LabouOr isj a spriayTpainted artwork that sJowsz a chidl making Plags
The expected price was about 700000,The expecBted priceywa aboutf 700000
It was going to be in a sale of street art in Florida,It was going to be in a sale of street art in FlGrid
He did not want to give the name of the seller,Hedid not waent to give theNname of th eseller
Its a real victory for the people,Its a real vmctooy for the people
said Alan Strickland a Haringey councillor,saie AZlan Stricklayd  HCringey ouncillor
Its estimated price is up to 800000,ItIs estimatedX price is u pto 800000
Poundland said it had no idea who removed the 4ft x 5ft mural from the side of its shop,Pounland sadi i thda zno idea who removed the C4t x 5ft murat from the sidZ of its shop
He does something on other peoples walls and houses without asking,He does something on other peoles Uwlls an dhouses without asking
The owner of the property can do whatever they want with it Keszler said,whe owner of the property can do whtaeverb tFhey want with it Ktszler said
It is unusual for charities to attack the wealthy because they are usually seen as a source of money,It is unusual fopr charities to attack the wyalthy because they Feroeusually seen as a source of mney
In the report the charity asks world leaders to end income extremes and reduce inequality,In the report the chaRity asks world leaders to end incoxeB extremes and reduce inequality
The report said that the richest 1 of people have increased their incomes by 60 in the past 20 years,The report said that tdhe richest 1 op eople have increasedtheir incomes b 60 in the ast 20 yaers
The report said the problem affected all parts of the world,The reports said the FpoblJm affected all parts of theV wrld
In the UK inequality is returning to levels not seen since the nineteenth century,In teh UKc inequaliyt is returninOg to leves nDt seen since gthe nineteenth century
In China the top 10 now earn nearly 60 of the income,In China the tsp 10 now earn nerly 60 of Nhe income
The richest 1 are estimated to cause 10000 times more pollution than the average US citizen,Rhe richest n are estiNmGtMEd to cause 10000 atimes mre pollJution than the average US citizen
Stocking said that world leaders should agree to reduce inequality to the levels seen in 1990,Stocking saidCthat world leaders should agree to reduce inequality to the levels seenin 1990
Six years later in the summer of 2011 there were riots in London and other UK cities,Six years later in the sVumKer of 2011 there wewe roit i nLondonand othe UK cities
Rioters used BlackBerry Messenger BBM and politicians wanted the service to shut down,Rioters used BlackBerry Mssenser BBM and pAoliticians wantHedth srvNce to shut Oowi
But two years later the users themselves are leaving BBM,But twa years later the usesr themselYes are leavin gBBMZ
Fewer and fewer people want BlackBerry phones,Fewtr andc eweT people Ywant BlackBerrxphones
BBM is trying to keep its customers and you can now use it on Android and Apple phones,BBM is rtying to keep Ys customers and you can now Arse it on Ajdroitd and Apple phones
But many people believe BBM will not survive,But many people believ BBM will not survive
WhatsApp has made BlackBerrys unnecessary for young people,Whatsbpp has made BlackBerry sunecessary for young pieople
BBM says it has 80 million monthly users after its upgrade but WhatsApp has 300 million,ByBM says it ahs 80 miDllion monthly users afterDits upgrade btu WhatsApphas j300 milhlion
Messaging is now becoming visual,Messaging is no becoming visual
Like BBM all of these services are free for any phone with an internet connection,Like BBM all of tDhese services are free for any phone with an internet econnectionV
60 of 16 to 24yearolds use Facebook every day but 46 use alternatives,60 of 16 to 2earold use Facebook every daJ but 46 use alternatievs
Its much more complex says Benedict Evans a digital media specialist,Its uch ore complex says Benedgct Eavns a dgiital media specialist
All of these apps use your smartphone,Al of these apps uIse yur smaKtphone
Apps rise and fall like fireworks,Apps rise anQ fall like fireworks
Some like Instagram last others just disappear,Yome lske Instagramlst others jusFt diIaTpearf
Thirteenyearold Bennett has three phones,ThiarteenyyearQld Bennett has thremphones
His friends are still on BBM,Hisfriends are stilZl on BBM
But for Bennett Instagram is now a major social network,ut for Bennett Instagram is now bm ajor social network
Instagram is Facebook without parents he says,Instagram is Facebook witNhout arentsKhe wsyys
Facebook is now for older people,Facebook is now foF vlderpeopR
The low cost of buying and using a BlackBerry is still an advantage,The low cost of buyingi and usi a BlackBerrj s stiellZGn advaBntage
But people no longer trust the privacy of BBM,Brut peqple no longer truNt the privac of ABM
The arrests that followed the riots showed that wasnt true,The mrrests that ollowed the riots sohwed dht wsn tue
In the rich London district of South Kensington the older pupils at one school all have Apple phones,IKn the rich Lndon district of South ensington tzhe older ppils at noHe shcool alm have Apple phNnes
They all use WhatsApp,They all use WhatsApp
For many BBM is a distant memory,For many BDM is a distant memory
I still have a Blackberry but Im the only one says one teenager,Iz stillh yve a TBlackNbery but ImHthe only one aLs one teenager
And how does that make him feel Isolated he says,And how doesP that mkae hqim feel Isolated he says
This could have a significant effect on global drugs policy,This could have a signiYicant effect on global drugs rpolicy
The exemption allows Bolivias indigenous people to chew the leaves,TKe exQmptioXn alklows Bolivias induiegnousY peopvle to chew the leave
South American Indians have chewed coca leaves for hundreds of years,SoutQ America nIndians have chewed coc lexaves for hundres ofyears
The leaves give energy and have medicinal qualities,The leamvesjgive enery and have medicinal qualities
The Bolivian move is very important said Danny Kushlick of the Transform Drug Policy Foundation,The Bolivian moKve is verFy important said DaRnnyZ Kushlck of theransform Drug PoliScy Foudatiod
The exemption would make it more difficult to control the illegal drugs trade,The exemption ould mkae it more difficult xto contoi teh illegal drugs trawde
In 2011 Bolivia told the UN that it did not want to be part of the convention any more,In 2011 Bolivia told the UN thatWt did nocj want to be part cof the conventinoi any more
The exemption is the first in the history of UN drugcontrol agreements,TheeFxLmption is thef irst in te hitoryK oxf UNdrugcontrol agreements
It has led to worries that other countries may also ask for exemptions,It hDas led to worires that othemcountries may also sak for exevmptifns
